,question,answer,link
0, What is the purpose of the DUNE experiment as described in the governance document? ," The DUNE experiment is a multi-purpose neutrino and nucleon decay experiment that will use the Fermilab accelerator complex, a neutrino beam line, a near detector complex, and a far detector composed of a set of large liquid argon TPC’s situated deep underground at the Sanford Underground Research Facility, Lead, South Dakota, U.S.A. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=1&filename=GDC_v9.pdf&version=17

"
1, What is the primary goal of the DUNE experiment in terms of neutrino oscillation parameters? , The primary goal is to achieve a 3σ sensitivity to CP violation for 75% of the possible values of the CP-violating phase δCP after 850-1300 kt-MW-years and a 5σ sensitivity to the neutrino mass hierarchy for all possible values of δCP after 400 kt-MW-years. ," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=28&filename=DUNE-EPS.pptx&version=2

"
2, What are the two main components of the LBNF/DUNE project as described in the Preliminary Hazard Analysis Report? , The two main components are the Long-Baseline Neutrino Facility (LBNF) and the Deep Underground Neutrino Experiment (DUNE). ," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=92&filename=LBNF-DUNE_PHAR-20150623.pdf&version=1

"
3, What is the role of the Institutional Board (IB) in the DUNE collaboration? ," The Institutional Board (IB) is responsible for establishing governance rules of the DUNE collaboration and regulating governance-related issues, including admission of new collaborating institutions and members, oversight of Co-Spokesperson election process, approval of common funds assessments, and establishment of procedures for publication of scientific results and authorship rules. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=1&filename=GDC_v9.pdf&version=17

"
4, What is the significance of the 4850L level at the Sanford Underground Research Facility for the DUNE experiment? ," The 4850L level is significant because it is deep underground, which is required to shield the DUNE experiment from cosmic rays, allowing for precise measurements of neutrino interactions. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=92&filename=LBNF-DUNE_PHAR-20150623.pdf&version=1

"
5, What is the purpose of the Interface Control Document (ICD) in the context of LBNF/DUNE? ," The Interface Control Document (ICD) provides complete information about the technical and programmatic interfaces between different entities within the LBNF/DUNE project, ensuring proper configuration management. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=69&filename=Interface%20Control%20Document%2069.pdf&version=3

"
6, What is the role of the DUNE Technical Coordinator in the change control process? ," The DUNE Technical Coordinator is responsible for overseeing and coordinating Project Configuration Management activities, advising the DUNE Change Control Board of pending changes, and ensuring that all project elements are identified and controlled. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=82&filename=2019-10-14-LBNF%20DUNE%20Configuration%20Management%20Plan.pdf&version=10

"
7, What is the purpose of the LBNF/DUNE Configuration Management Plan? ," The purpose of the LBNF/DUNE Configuration Management Plan is to ensure that configuration documentation is identified, released, and controlled, and to establish processes for managing configuration changes across the project. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=82&filename=2019-10-14-LBNF%20DUNE%20Configuration%20Management%20Plan.pdf&version=10

"
8, What are the responsibilities of the LBNF Project Manager in the context of configuration management? ," The LBNF Project Manager is responsible for chairing the Project Change Control Board, advising the board of pending changes, overseeing and coordinating Project Configuration Management activities, and ensuring that all LBNF deliverables are identified and controlled. "," https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=82&filename=2019-10-14-LBNF%20DUNE%20Configuration%20Management%20Plan.pdf&version=10

"
9, What is the role of the DUNE Resource Review Board (RRB)? ," The DUNE Resource Review Board (RRB) is part of the international project governance structure for DUNE and is responsible for receiving periodic reports and recommendations from review committees, such as the Long-Baseline Neutrino Committee (LBNC) and the Neutrino Cost Group (NCG), which review DUNE from technical and cost perspectives, respectively. ", https://docs.dunescience.org/cgi-bin/private/RetrieveFile?docid=82&filename=2019-10-14-LBNF%20DUNE%20Configuration%20Management%20Plan.pdf&version=10
